ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
44	cosine	24.0	0.0	4.0	557.7568532150972	91.1991777168944	66.0	58.0	728.37351763	371.026316876	357.347200754	1.9631316823099998	1.28318989509	0.4752033992302252	0.0005704661112858879	0.0376507633448686	0.01998001998001998	0.01998001998001998	0.11584150666209081
45	cosine	24.0	16.0	18.0	276.750393645227	30.908153351993146	80.0	90.0	325.897487293	210.80141493099998	115.096072362	1.5459928833899999	1.16661165664	0.3290883655048249	0.012131343131205927	0.8006686466595911	0.2887112887112887	0.27551681449200655	0.5806291707229958
46	cosine	24.0	18.0	10.0	81.22437082910092	17.398017897333418	90.0	84.0	117.359350602	54.5808634085	62.778487193900006	2.15019227021	1.4220865332100001	0.5541741531075007	7.415431377647423e-05	0.004894184709247299	0.001998001998001998	0.001998001998001998	0.01981523631008167
47	cosine	24.0	20.0	18.0	1279.81163134477	114.53675305168323	50.0	90.0	1529.68518438	1029.28927154	500.39591283699997	1.48615673618	1.11838041665	0.26990796132598543	0.032316077168031795	2.1328610930900984	0.5264735264735265	0.5264735264735265	0.7170635942145418
48	cosine	24.0	10.0	20.0	228.4087535981552	45.071690715469245	62.0	92.0	306.780938352	118.411018497	188.369919855	2.59081411718	1.33927960249	0.4117897533284011	0.002407784221661243	0.15891375862964205	0.08591408591408592	0.07931534075766046	0.2964487900523914
49	cosine	24.0	18.0	14.0	551.1614818530369	112.02655910781877	92.0	62.0	840.675015141	393.346940146	447.328074995	2.13723542588	1.2332343989799999	0.5248139330753153	0.00016351904726201873	0.010792257119293236	0.003996003996003996	0.003996003996003996	0.03349465547856969
50	cosine	24.0	18.0	22.0	2579.554438359849	159.7762016056884	66.0	92.0	2852.82033662	2179.31139968	673.508936942	1.3090466727399999	1.09107534278	0.24267330086749556	0.0483220815907642	3.189257384990437	0.6583416583416584	0.6583416583416584	0.8104361432444906
51	cosine	24.0	18.0	20.0	747.0304507168194	127.06650795640213	66.0	92.0	968.283595109	441.085474963	527.198120146	2.1952289297	1.2035669535100002	0.19191458635529096	0.09444831922890234	6.2335890691075555	0.8671328671328671	0.8671328671328671	0.9181579575280362
52	cosine	24.0	22.0	10.0	726.0713058844673	52.31399888034942	94.0	58.0	864.636922187	634.369932154	230.26699003299998	1.36298534713	1.08279800866	0.3926929429304807	0.003589962540617733	0.23693752768077034	0.11988011988011989	0.10884864978473244	0.3559765162170234
53	cosine	24.0	22.0	16.0	633.2303814893445	66.78834443692757	94.0	58.0	774.835971182	501.638736779	273.197234403	1.5446095254899999	1.14537843893	0.44857791978537054	0.001066818689722777	0.07041003352170327	0.03996003996003996	0.03996003996003996	0.1922077922077922
