"","pVal","phase","peak.shape","period","qvalue"
"291",0.672060160738951,24,14,28,1
"292",0.000171641639819951,10,10,26,0.00243926175862307
"293",0.136782527415235,28,8,28,0.376808841483899
"294",0.0996294480214958,16,12,20,0.297366557746259
"295",0.00199555358854812,20,16,26,0.0152545190576912
"296",0.760598950217694,2,10,20,1
"297",0.960951264565763,12,8,20,1
"298",0.347579311824154,10,8,28,0.762315672665177
"299",0.911077656284145,2,20,26,1
"300",0.00110507311692688,18,10,20,0.00971873727165087
"301",0.858169810339403,6,14,24,1
"302",0.880981620740933,6,10,24,1
"303",0.00239552125232672,22,14,26,0.017560603037279
"304",0.281203827546243,6,10,24,0.648724417504762
"305",0.556511555019118,4,12,28,1
"306",0.0104353965553566,16,12,24,0.053375633730002
"307",0.123433836227536,18,16,28,0.348816612361676
"308",8.3469564569976e-05,26,12,26,0.00138812549802144
"309",0.0803164611815247,2,8,20,0.254288016085101
"310",0.936919253702157,22,18,24,1
"311",0.000254785262358695,2,10,22,0.0032613556715024
"312",1,14,6,20,1
"313",0.0351466569097566,6,14,20,0.135369292058336
"314",0.123687341609451,10,6,24,0.349409056735442
"315",0.00229834313871255,20,8,24,0.0169776014723799
"316",0.309988008400993,8,14,24,0.701793995847723
"317",0.984873079377346,2,6,20,1
"318",0.247376298910226,20,16,26,0.588041816037121
"319",0.00121230596342298,28,16,28,0.0103206932461319
"320",0.923234377484343,4,12,22,1
"321",0.000863669141795101,4,14,24,0.00808461548449815
"322",0.838327248349855,22,12,26,1
"323",0.353574265424546,14,12,20,0.771288987161935
"324",0.0345703666212561,22,14,26,0.133767637674947
"325",3.61248793966696e-05,2,10,22,0.000727500389266909
"326",0.235898124465373,2,16,22,0.5662460546188
"327",0.0169960729063263,8,14,20,0.0780870271001164
"328",0.180893186957216,8,10,28,0.46483776839077
"329",0.334440881310107,20,18,26,0.74000666342254
"330",0.05195172026526,16,8,22,0.181940132634372
"331",0.00380530546048184,18,14,26,0.0247989317815455
"332",8.56640758944761e-06,10,12,24,0.00024348066662189
"333",3.26020376623554e-07,10,8,26,1.87889900002496e-05
"334",3.81879123045091e-08,4,6,24,3.2488301447632e-06
"335",0.788634079169104,10,10,20,1
"336",0.0696704918219059,8,8,20,0.227790632869217
"337",0.0207247445956433,6,10,28,0.0910054971605039
"338",0.969422835768699,18,20,28,1
"339",0.375788086426563,6,8,20,0.805002707922336
"340",0.999999999999994,12,12,20,1
"341",0.0358137621378586,8,10,20,0.137346491657792
"342",0.983757710979014,6,20,26,1
"343",0.328834950408752,2,6,20,0.730575571115981
"344",0.3637041707857,20,8,20,0.787086046424256
"345",0.000585240993243869,8,12,20,0.00601398838250437
"346",0.162569702694285,8,8,28,0.429557722775138
"347",0.362472323229114,16,12,20,0.785220660714238
"348",0.0305393878534042,6,10,28,0.121981981633559
"349",0.00515077637665619,10,20,28,0.0310155281584802
"350",0.011117876266808,16,12,20,0.0559742997555155
"351",0.256615715723647,6,14,24,0.604603643715134
"352",0.013019797413003,18,12,26,0.0637781380521017
"353",0.325427681574451,2,8,20,0.725842444403438
"354",0.03296148987729,6,14,22,0.129253599375011
"355",0.061688110495839,8,12,20,0.207050861476372
"356",0.00205589657914397,4,12,22,0.01564883908629
"357",1,28,12,28,1
"358",0.164299980321407,28,10,28,0.433214327197873
"359",0.667488278835608,20,6,26,1
"360",0.000192676939080009,2,14,22,0.00265774676056157
"361",0.000434351692782443,18,6,22,0.0048198777905388
"362",0.806032389935626,4,10,20,1
"363",0.682515439122106,22,18,24,1
"364",0.0937847330389018,10,10,28,0.28467763868556
"365",0.0255082320163405,4,12,28,0.106264473549752
"366",0.997094849247963,18,8,22,1
"367",0.0233771959116306,28,10,28,0.0995760259096906
"368",0.00787243166596887,12,10,24,0.0430299958105799
"369",0.926295043975617,10,6,20,1
"370",1,28,12,28,1
"371",0.00964883728960388,6,10,28,0.0501322638736129
"372",0.0568854901925686,22,12,24,0.194586963990225
"373",0.448312059765765,16,12,20,0.916409058422794
"374",0.0375747764505999,10,10,26,0.142569828365049
"375",1.75926364094136e-12,14,10,24,2.44459456595697e-09
"376",0.0004217247314451,22,12,24,0.00473012510444163
"377",0.957907215466224,8,12,20,1
"378",0.000724213921453386,12,8,24,0.00707579632945004
"379",9.00353042546372e-06,20,10,20,0.000250871659202308
"380",0.000438400608467181,16,12,26,0.00484760213040722
"381",3.45239276940776e-06,10,12,26,0.000120266362045163
"382",0.718353984722353,22,12,24,1
"383",0.574194708722704,16,14,28,1
"384",0.000723729520188204,4,12,24,0.00707579632945004
"385",1.31923036637539e-06,20,16,24,5.61166495302403e-05
"386",0.973512789678824,8,16,22,1
"387",0.999999999999308,28,8,28,1
"388",0.000281296569873245,20,10,24,0.00352141631915396
"389",0.000351318400010614,22,14,26,0.00413708842799693
"390",0.520175588633158,18,10,20,1
"391",0.00502634021071958,10,12,26,0.030440392578818
"392",4.55738923299293e-05,22,12,24,0.000871800767639708
"393",7.81709076135837e-07,10,12,24,3.71713068675087e-05
"394",0.295366660211183,8,14,20,0.6754169779852
"395",0.68183009884653,10,12,26,1
"396",0.142794487420449,24,20,28,0.389910013030597
"397",0.165864860497066,16,6,24,0.43570499147123
"398",0.226106277991191,22,18,24,0.550347433351078
"399",0.509975761869866,10,8,20,1
"400",8.10895744226062e-05,22,18,24,0.00135939171277361
"401",0.785319614484604,22,14,24,1
"402",0.38969278785605,14,12,22,0.826657394080556
"403",0.0155077820984398,16,14,24,0.07279781220893
"404",0.940039868631856,10,10,20,1
"405",0.950817414948903,20,16,26,1
"406",0.0563693740560909,18,12,20,0.193191392695388
"407",0.610743479604472,10,14,26,1
"408",0.373025924569169,22,12,24,0.800889243163071
"409",6.2118740926663e-09,10,8,24,8.85024069705321e-07
"410",0.434392662484281,24,10,24,0.894687335094735
"411",0.121603711329231,14,12,20,0.344847168681036
"412",0.460899051165621,22,12,24,0.933744295136441
"413",0.982319935675716,8,14,20,1
"414",0.308432383790734,18,20,28,0.699284878840994
"415",0.605811955162075,4,20,28,1
"416",0.00107107913822706,22,12,24,0.00952019595072323
"417",0.999999999999989,18,12,20,1
"418",0.000237300668157044,16,14,26,0.0030805224621992
"419",0.000173787101814307,2,16,26,0.00246136069681735
"420",0.000122860177680015,8,8,20,0.00188295267410082
"421",0.0199740342951615,16,18,28,0.0883293044184195
